iter	Passed	Remaining
403	9081	13397
404	9101	13371
405	9121	13345
406	9142	13320
407	9162	13294
408	9183	13269
409	9202	13242
410	9222	13216
411	9247	13197
412	9268	13173
413	9289	13148
414	9309	13123
415	9330	13098
416	9350	13072
417	9370	13046
418	9390	13021
419	9410	12995
420	9430	12970
421	9451	12944
422	9475	12924
423	9497	12901
424	9517	12877
425	9537	12850
426	9557	12824
427	9577	12800
428	9598	12775
429	9618	12750
430	9639	12725
431	9658	12699
432	9678	12673
433	9703	12654
434	9725	12631
435	9745	12606
436	9766	12583
437	9794	12567
438	9815	12543
439	9838	12521
440	9859	12497
441	9879	12472
442	9900	12447
443	9923	12427
444	9946	12405
445	9966	12380
446	9987	12356
447	10008	12331
448	10027	12305
449	10047	12280
450	10067	12255
451	10093	12237
452	10115	12215
453	10145	12200
454	10167	12178
455	10177	12141
456	10196	12115
457	10216	12090
458	10237	12066
459	10258	12042
460	10277	12016
461	10297	11992
462	10318	11968
463	10339	11944
464	10362	11922
465	10387	11903
466	10408	11879
467	10429	11855
468	10449	11830
469	10469	11806
470	10490	11781
471	10510	11757
472	10529	11732
473	10549	11706
474	10575	11688
475	10599	11667
476	10620	11644
477	10640	11620
478	10661	11595
479	10680	11571
480	10701	11547
481	10722	11523
482	10742	11498
483	10762	11474
484	10783	11450
485	10809	11432
486	10831	11409
487	10851	11385
488	10871	11360
489	10892	11337
490	10912	11312
491	10932	11288
492	10952	11263
493	10973	11239
494	10998	11220
495	11022	11200
496	11043	11176
497	11063	11152
498	11084	11128
499	11104	11104
500	11124	11080
501	11145	11056
502	11165	11032
503	11185	11008
504	11206	10984
505	11233	10966
506	11252	10942
507	11273	10918
508	11293	10894
509	11314	10870
510	11334	10846
511	11355	10822
512	11375	10798
513	11395	10774
514	11419	10753
515	11440	10731
516	11460	10707
517	11481	10683
518	11501	10659
519	11521	10635
520	11541	10611
521	11561	10587
522	11582	10563
523	11602	10539
524	11622	10516
525	11648	10497
526	11670	10474
527	11690	10450
528	11709	10426
529	11730	10402
530	11750	10378
531	11770	10354
532	11796	10335
533	11820	10315
534	11842	10292
535	11868	10274
536	11889	10251
537	11909	10227
538	11929	10203
539	11950	10179
540	11970	10156
541	11990	10132
542	12011	10108
543	12031	10085
544	12051	10061
545	12071	10037
546	12098	10019
547	12131	10006
548	12152	9983
549	12172	9959
550	12192	9935
551	12213	9912
552	12234	9889
553	12254	9865
554	12274	9841
555	12295	9818
556	12320	9799
557	12343	9777
558	12363	9753
559	12384	9730
560	12403	9706
561	12424	9683
562	12444	9659
563	12464	9635
564	12484	9612
565	12505	9588
566	12525	9565
567	12551	9546
568	12572	9523
569	12592	9499
570	12611	9475
571	12631	9451
572	12651	9428
573	12672	9404
574	12693	9381
575	12713	9358
576	12734	9335
577	12759	9315
578	12779	9292
579	12800	9269
580	12820	9245
581	12840	9222
582	12861	9199
583	12881	9175
584	12901	9152
585	12922	9129
586	12944	9107
587	12969	9087
588	12991	9065
589	13010	9041
590	13030	9017
